Codigo;CCAA;Provincia
AN;Andalucía;Huelva
AN;Andalucía;Cádiz
AN;Andalucía;Sevilla
AN;Andalucía;Jaén
AN;Andalucía;Córdoba
AN;Andalucía;Málaga
AN;Andalucía;Almería
AN;Andalucía;Granada
AR;Aragón;Huesca
AR;Aragón;Teruel
AR;Aragón;Zaragoza
AS;Asturias, Principado de;Asturias
CN;Canarias;Santa Cruz de Tenerife
CN;Canarias;Las Palmas
CB;Cantabria;Cantabria
CM;Castilla - La Mancha;Guadalajara
CM;Castilla - La Mancha;Toledo
CM;Castilla - La Mancha;Albacete
CM;Castilla - La Mancha;Ciudad Real
CM;Castilla - La Mancha;Cuenca
CL;Castilla y León;Palencia
CL;Castilla y León;Segovia
CL;Castilla y León;Zamora
CL;Castilla y León;Soria
CL;Castilla y León;Ávila
CL;Castilla y León;Valladolid
CL;Castilla y León;León
CL;Castilla y León;Burgos
CL;Castilla y León;Salamanca
CT;Cataluña;Lleida
CT;Cataluña;Barcelona
CT;Cataluña;Tarragona
CT;Cataluña;Girona
CE;Ceuta;Ceuta
MD;Comunidad de Madrid;Madrid
NC;Comunidad Foral de Navarra;Navarra
VC;Comunitat Valenciana;Castelló
VC;Comunitat Valenciana;Alacant
VC;Comunitat Valenciana;València
EX;Extremadura;Badajoz
EX;Extremadura;Cáceres
GA;Galicia;Lugo
GA;Galicia;Ourense
GA;Galicia;Pontevedra
GA;Galicia;A Coruña
IB;Illes Balears;Illes Balears
ML;Melilla;Melilla
PV;País Vasco;Bizkaia
PV;País Vasco;Gipuzcoa
PV;País Vasco;Araba
MC;Región de Murcia;Murcia
RI;Rioja, La;La Rioja
