,Periodo,PIB Trimestral,num_casos,Total Paro
22,201001,268.031,0,4617.7
46,201002,267.355,0,4654.9
35,201003,267.959,0,4585.7
45,201004,269.364,0,4701.8
44,201101,267.991,0,4921.4
21,201102,267.784,0,4844.3
20,201103,265.547,0,4998.5
43,201104,262.441,0,5286.7
34,201201,261.538,0,5668.4
42,201202,258.877,0,5731.4
8,201203,257.492,0,5823.9
19,201204,253.192,0,6021.6
41,201301,255.914,0,6278.0
18,201302,255.183,0,6047.6
17,201303,254.815,0,5942.4
40,201304,254.436,0,5936.0
39,201401,256.308,0,5932.5
38,201402,256.98,0,5623.0
7,201403,258.252,0,5427.3
16,201404,260.618,0,5457.5
37,201501,265.848,0,5444.9
33,201502,268.181,0,5149.2
32,201503,270.633,0,4850.3
15,201504,272.928,0,4779.2
6,201601,275.039,0,4791.6
14,201602,276.76,0,4574.8
13,201603,280.145,0,4321.3
5,201604,281.896,0,4237.9
12,201701,285.723,0,4255.8
11,201702,289.461,0,3913.7
31,201703,291.234,0,3731.6
36,201704,295.449,0,3766.2999999999997
30,201801,296.217,0,3795.9
4,201802,299.384,0,3490.6
24,201803,301.953,0,3326.3
29,201804,305.705,0,3304.8
28,201901,307.704,0,3354.4
27,201902,309.942,0,3230.2
3,201903,311.706,0,3214.0
2,201904,315.023,0,3192.0
26,202001,296.636,934961,3313.9
10,202002,245.851,1103579,3368.4
25,202003,289.165,6850799,3723.6
9,202004,290.296,14041451,3719.4
1,202101,288.038,15790846,3653.7
23,202102,292.209,6411176,3543.5
0,202103,303.717,13285322,3416.4
0,202104,308.72572299999655,71203626,3104.2
1,202201,307.76652799999846,69084800,3246.194386
2,202202,270.05106199999875,421960,3373.258353
3,202203,270.05106199999875,73600,3373.258353
4,202204,270.05106199999875,149680,3373.258353
5,202301,267.53981699999866,1350520,3373.258353
6,202302,270.05106199999875,422000,3373.258353
7,202303,270.05106199999875,74200,3373.258353
8,202304,270.05106199999875,149680,3373.258353
