,Periodo,PIB Trimestral,num_casos,Total
22,201001,268.031,0,4617.7
46,201002,267.355,0,4655.3
35,201003,267.959,0,4585.4
45,201004,269.364,0,4702.2
44,201101,267.991,0,4921.2
21,201102,267.784,0,4844.2
20,201103,265.547,0,4998.0
43,201104,262.441,0,5287.3
34,201201,261.538,0,5667.9
42,201202,258.877,0,5731.0
8,201203,257.492,0,5824.2
19,201204,253.192,0,6021.0
41,201301,255.914,0,6278.2
18,201302,255.183,0,6047.3
17,201303,254.815,0,5943.4
40,201304,254.436,0,5935.6
39,201401,256.308,0,5933.3
38,201402,256.98,0,5622.9
7,201403,258.252,0,5427.7
16,201404,260.618,0,5457.7
37,201501,265.848,0,5444.6
33,201502,268.181,0,5149.0
32,201503,270.633,0,4850.8
15,201504,272.928,0,4779.5
6,201601,275.039,0,4791.4
14,201602,276.76,0,4574.7
13,201603,280.145,0,4320.8
5,201604,281.896,0,4237.8
12,201701,285.723,0,4255.0
11,201702,289.461,0,3914.3
31,201703,291.234,0,3731.7
36,201704,295.449,0,3766.7
30,201801,296.217,0,3796.1
4,201802,299.384,0,3490.1
24,201803,301.953,0,3326.0
29,201804,305.705,0,3304.3
28,201901,307.704,0,3354.4
27,201902,309.942,0,3230.7
3,201903,311.706,0,3214.7
2,201904,315.023,0,3191.8
26,202001,296.636,2973766,3312.8
10,202002,245.851,3593616,3367.8
25,202003,289.165,22309404,3722.9
9,202004,290.296,45936306,3719.7
1,202101,288.038,50123368,3653.8
23,202102,292.209,20304502,3543.7
0,202103,303.717,41021086,3417.1
0,202104,308.72572299999655,71203626,3104.2
1,202201,307.76652799999846,69084800,3246.194386
2,202202,270.05106199999875,421960,3373.258353
3,202203,270.05106199999875,73600,3373.258353
4,202204,270.05106199999875,149680,3373.258353
5,202301,270.05106199999875,1350520,3373.258353
6,202302,270.05106199999875,422000,3373.258353
7,202303,270.05106199999875,74200,3373.258353
8,202304,270.05106199999875,149680,3373.258353
